NUMOFERTA, IDOPERADOR, IDLUGAR, TIPOLUGAR, HABILITADA, FECHAINICIAL, FECHAFINAL, PRECIO
 23409,23409,23409,suite vivienda universitaria,0,07/03/2018,29/01/2020,2649552
 23410,23410,23410,habitación vivienda universitaria,1,27/07/2018,31/03/2020,2596077
 23411,23411,23411,habitación hostal,0,23/09/2019,09/11/2018,2256770
 23412,23412,23412,habitación hotel,1,22/10/2019,04/04/2019,2614390
 23413,23413,23413,vivienda,0,17/08/2018,15/05/2020,2767355
 23414,23414,23414,habitación hotel,0,16/03/2019,04/03/2018,877716
 23415,23415,23415,suite hotel,0,22/09/2019,01/08/2018,473995
 23416,23416,23416,habitación vivienda universitaria,0,24/02/2019,19/09/2019,1870029
 23417,23417,23417,habitación vivienda ,1,03/03/2018,25/08/2019,3486465
 23418,23418,23418,habitación hostal,1,18/09/2019,12/02/2019,2829097
 23419,23419,23419,suite hotel,1,09/11/2018,02/02/2020,3421949
 23420,23420,23420,suite vivienda universitaria,0,23/03/2020,21/10/2018,1555993
 23421,23421,23421,vivienda,1,09/09/2018,18/02/2019,2529158
 23422,23422,23422,suite vivienda universitaria,1,20/02/2020,09/02/2020,3655900
 23423,23423,23423,suite hotel,1,09/10/2018,15/06/2018,2052820
 23424,23424,23424,suite hotel,0,21/12/2018,15/08/2018,976062
 23425,23425,23425,suite hotel,0,15/04/2018,15/06/2019,1939009
 23426,23426,23426,habitación hotel,1,19/05/2018,04/05/2020,630107
 23427,23427,23427,habitación vivienda universitaria,0,16/02/2018,23/12/2019,2169961
 23428,23428,23428,suite hotel,0,09/11/2018,01/02/2019,172942
 23429,23429,23429,habitación hostal,0,16/10/2018,04/04/2019,259920
 23430,23430,23430,suite vivienda universitaria,0,10/06/2018,10/02/2018,960651
 23431,23431,23431,suite hotel,0,09/06/2019,29/09/2018,1061582
 23432,23432,23432,suite hotel,0,25/02/2019,28/03/2019,2185712
 23433,23433,23433,habitación vivienda ,0,11/03/2020,03/12/2018,183016
 23434,23434,23434,suite hotel,1,22/11/2018,02/04/2018,2154277
 23435,23435,23435,vivienda,1,27/02/2019,19/09/2019,1193033
 23436,23436,23436,suite hotel,0,12/12/2019,30/07/2019,2464357
 23437,23437,23437,vivienda,1,01/12/2019,09/10/2018,864305
 23438,23438,23438,suite vivienda universitaria,0,28/04/2018,21/01/2019,2407842
 23439,23439,23439,habitación vivienda ,0,27/11/2019,29/11/2019,550273
 23440,23440,23440,suite hotel,0,20/08/2019,17/05/2018,3154442
 23441,23441,23441,habitación hostal,0,28/02/2019,22/06/2018,494521
 23442,23442,23442,habitación vivienda universitaria,1,27/04/2018,10/04/2018,236879
 23443,23443,23443,habitación hostal,0,04/09/2019,10/09/2019,438659
 23444,23444,23444,vivienda,1,03/10/2019,15/05/2020,3728818
 23445,23445,23445,habitación hotel,0,08/03/2020,01/02/2018,363038
 23446,23446,23446,habitación hotel,0,10/03/2020,07/08/2019,376347
 23447,23447,23447,habitación vivienda universitaria,1,15/07/2019,15/05/2018,3306216
 23448,23448,23448,habitación vivienda ,0,12/05/2020,25/03/2019,3190989
 23449,23449,23449,vivienda,0,10/09/2018,14/05/2019,462006
 23450,23450,23450,suite hotel,1,16/01/2018,24/10/2019,2258958
 23451,23451,23451,habitación hostal,1,12/03/2018,23/04/2019,1226525
 23452,23452,23452,habitación vivienda universitaria,1,10/03/2019,14/09/2018,2768363
 23453,23453,23453,suite vivienda universitaria,0,15/09/2019,29/01/2018,987532
 23454,23454,23454,suite vivienda universitaria,1,11/01/2018,30/12/2018,3696144
 23455,23455,23455,habitación hostal,1,02/07/2018,11/07/2019,2197615
 23456,23456,23456,habitación vivienda universitaria,1,15/07/2019,20/01/2020,2649159
 23457,23457,23457,suite vivienda universitaria,1,14/06/2019,16/05/2019,1487916
 23458,23458,23458,suite hotel,1,10/09/2018,19/02/2020,894819
 23459,23459,23459,suite hotel,1,01/04/2019,05/06/2018,274532
 23460,23460,23460,suite hotel,0,19/05/2019,19/08/2019,1302187
 23461,23461,23461,vivienda,0,24/05/2019,15/12/2019,3028142
 23462,23462,23462,suite vivienda universitaria,0,11/09/2019,12/03/2018,1693933
 23463,23463,23463,habitación hotel,1,18/02/2020,13/08/2018,3680436
 23464,23464,23464,suite vivienda universitaria,1,28/02/2018,06/11/2019,1861353
 23465,23465,23465,habitación hostal,1,12/09/2018,20/01/2018,792742
 23466,23466,23466,suite vivienda universitaria,1,31/05/2018,23/05/2020,263585
 23467,23467,23467,suite vivienda universitaria,1,14/03/2018,25/12/2018,3478476
 23468,23468,23468,habitación hostal,0,10/10/2019,18/11/2019,3948112
 23469,23469,23469,suite hotel,1,25/04/2018,03/05/2019,3332354
 23470,23470,23470,suite vivienda universitaria,0,13/08/2019,19/10/2018,871147
 23471,23471,23471,habitación vivienda universitaria,1,30/08/2019,23/01/2018,2602749
 23472,23472,23472,suite vivienda universitaria,0,27/12/2019,22/04/2019,3898861
 23473,23473,23473,habitación hostal,1,12/05/2020,27/11/2019,1532824
 23474,23474,23474,vivienda,1,21/03/2018,12/01/2019,3621030
 23475,23475,23475,habitación hotel,1,15/02/2018,06/03/2019,1349420
 23476,23476,23476,vivienda,0,13/10/2019,03/10/2018,3319262
 23477,23477,23477,habitación hotel,1,12/04/2018,01/04/2020,2455779
 23478,23478,23478,habitación hotel,1,19/04/2020,05/04/2020,2887052
 23479,23479,23479,habitación vivienda universitaria,0,10/09/2019,04/04/2019,660622
 23480,23480,23480,suite hotel,0,12/11/2018,17/10/2018,3270820
 23481,23481,23481,suite vivienda universitaria,0,23/02/2018,13/05/2019,1495605
 23482,23482,23482,suite hotel,1,27/12/2019,02/12/2018,2076931
 23483,23483,23483,habitación vivienda ,0,27/08/2019,07/01/2020,2273031
 23484,23484,23484,habitación hotel,1,30/12/2019,03/07/2019,287463
 23485,23485,23485,suite hotel,1,19/01/2019,11/12/2019,890966
 23486,23486,23486,habitación vivienda ,0,16/08/2019,25/03/2019,1606806
 23487,23487,23487,habitación vivienda ,0,22/11/2019,15/10/2018,2448926
 23488,23488,23488,habitación vivienda universitaria,1,29/11/2019,04/02/2018,1415050
 23489,23489,23489,habitación vivienda universitaria,1,22/04/2020,11/12/2019,706899
 23490,23490,23490,suite hotel,0,06/06/2019,19/09/2018,831856
 23491,23491,23491,habitación vivienda universitaria,0,11/06/2018,22/02/2018,1414659
 23492,23492,23492,habitación hostal,0,19/10/2019,01/09/2019,2410932
 23493,23493,23493,habitación vivienda ,0,12/04/2019,05/07/2018,2493763
 23494,23494,23494,habitación vivienda ,1,14/06/2018,14/05/2020,2498191
 23495,23495,23495,habitación hotel,0,20/02/2019,16/10/2019,2368202
 23496,23496,23496,vivienda,1,02/09/2019,07/07/2019,673285
 23497,23497,23497,suite vivienda universitaria,0,24/07/2019,01/10/2019,2330567
 23498,23498,23498,habitación vivienda universitaria,0,04/08/2019,03/07/2018,215201
 23499,23499,23499,habitación vivienda ,1,06/06/2019,28/07/2018,2335543
 23500,23500,23500,vivienda,0,23/02/2020,29/05/2018,1147537
 23501,23501,23501,suite hotel,0,08/08/2019,14/01/2018,3390400
 23502,23502,23502,habitación vivienda universitaria,1,16/03/2020,14/05/2018,490323
 23503,23503,23503,habitación hotel,0,18/05/2019,14/12/2019,2472957
 23504,23504,23504,suite hotel,0,28/06/2018,09/01/2018,1945955
 23505,23505,23505,habitación vivienda universitaria,0,02/02/2019,21/07/2019,517227
 23506,23506,23506,habitación hotel,1,02/10/2018,16/01/2020,1050765
 23507,23507,23507,vivienda,0,14/09/2018,07/03/2019,748376
 23508,23508,23508,vivienda,0,10/02/2020,07/05/2019,448045
 23509,23509,23509,habitación hostal,0,16/02/2020,17/03/2018,800029
 23510,23510,23510,habitación vivienda universitaria,1,27/09/2019,10/04/2020,1162853
 23511,23511,23511,habitación vivienda ,0,18/08/2018,13/03/2020,3367493
 23512,23512,23512,habitación hotel,0,28/05/2019,05/05/2020,2744631
 23513,23513,23513,suite vivienda universitaria,1,18/09/2019,09/08/2019,1345538
 23514,23514,23514,habitación vivienda universitaria,1,06/02/2020,03/07/2018,2057552
 23515,23515,23515,habitación hotel,1,18/03/2020,26/10/2019,3358192
 23516,23516,23516,habitación hostal,1,06/07/2019,28/03/2020,1097899
 23517,23517,23517,suite hotel,0,13/01/2020,23/03/2018,3869746
 23518,23518,23518,habitación hotel,0,22/04/2019,12/05/2019,2117131
 23519,23519,23519,suite vivienda universitaria,1,23/10/2019,25/05/2019,3961448
 23520,23520,23520,habitación hostal,1,21/12/2019,05/12/2019,3827159
 23521,23521,23521,habitación vivienda universitaria,1,11/01/2018,19/07/2019,1314335
 23522,23522,23522,habitación vivienda ,0,01/05/2020,07/06/2018,2611564
 23523,23523,23523,habitación vivienda universitaria,1,21/10/2018,27/02/2018,578656
 23524,23524,23524,habitación vivienda universitaria,1,09/04/2020,13/07/2018,1431930
 23525,23525,23525,habitación vivienda universitaria,1,17/04/2019,16/07/2018,3364925
 23526,23526,23526,habitación hostal,0,23/06/2019,23/11/2019,2280083
 23527,23527,23527,vivienda,1,15/11/2018,04/10/2018,2944911
 23528,23528,23528,suite hotel,1,03/03/2018,15/05/2020,1089443
 23529,23529,23529,habitación vivienda ,1,10/08/2018,24/05/2020,3562756
 23530,23530,23530,habitación hotel,0,01/05/2020,28/02/2018,3501358
 23531,23531,23531,suite vivienda universitaria,0,21/12/2018,30/06/2018,3997320
 23532,23532,23532,habitación vivienda universitaria,0,22/11/2019,21/03/2018,1298592
 23533,23533,23533,habitación hotel,0,16/06/2018,27/11/2019,2547850
 23534,23534,23534,habitación vivienda ,0,05/12/2019,17/12/2019,3447345
 23535,23535,23535,vivienda,0,22/10/2018,28/04/2020,391838
 23536,23536,23536,vivienda,1,21/04/2020,03/05/2020,336104
 23537,23537,23537,habitación hotel,0,02/03/2019,13/02/2020,1478403
 23538,23538,23538,habitación hotel,1,23/08/2018,03/03/2020,968792
 23539,23539,23539,habitación vivienda universitaria,0,02/08/2019,24/05/2020,2249904
 23540,23540,23540,suite vivienda universitaria,0,17/02/2019,10/02/2020,2301141
 23541,23541,23541,vivienda,0,08/06/2018,20/02/2020,2330984
 23542,23542,23542,suite hotel,1,20/02/2020,18/04/2020,335485
 23543,23543,23543,suite vivienda universitaria,1,03/04/2018,29/11/2018,2188561
 23544,23544,23544,habitación hotel,0,01/07/2018,18/07/2019,477833
 23545,23545,23545,habitación vivienda ,1,30/03/2019,14/04/2018,2377085
 23546,23546,23546,habitación vivienda ,0,24/02/2020,03/05/2018,3117349
 23547,23547,23547,habitación vivienda ,0,03/06/2019,26/12/2019,1795129
 23548,23548,23548,suite vivienda universitaria,1,13/04/2019,02/12/2018,3162616
 23549,23549,23549,suite hotel,0,14/11/2019,22/12/2019,1333092
 23550,23550,23550,suite vivienda universitaria,0,01/09/2019,10/01/2018,1759182
 23551,23551,23551,vivienda,1,08/12/2019,27/02/2020,2852970
 23552,23552,23552,suite vivienda universitaria,0,15/03/2018,21/06/2019,2720283
 23553,23553,23553,suite hotel,1,30/05/2018,25/04/2020,2034678
 23554,23554,23554,suite hotel,1,03/02/2018,23/07/2019,1688380
 23555,23555,23555,habitación hotel,0,01/09/2018,02/03/2020,766249
 23556,23556,23556,habitación vivienda universitaria,0,08/08/2019,05/05/2018,814707
 23557,23557,23557,habitación hostal,1,11/01/2020,09/10/2019,3430315
 23558,23558,23558,habitación hostal,1,19/03/2018,13/01/2018,3014298
 23559,23559,23559,habitación vivienda ,1,13/08/2018,01/05/2019,3934023
 23560,23560,23560,suite vivienda universitaria,0,27/01/2020,02/05/2019,3550218
 23561,23561,23561,suite vivienda universitaria,0,04/08/2019,23/07/2018,1259290
 23562,23562,23562,habitación vivienda universitaria,1,08/07/2018,18/04/2020,409425
 23563,23563,23563,habitación vivienda universitaria,0,22/01/2020,21/10/2018,1996154
 23564,23564,23564,habitación vivienda ,1,03/09/2019,30/11/2019,3015039
 23565,23565,23565,habitación hostal,0,07/04/2018,09/02/2019,649850
 23566,23566,23566,habitación hotel,1,10/08/2018,01/04/2020,3733554
 23567,23567,23567,suite vivienda universitaria,1,30/11/2019,15/12/2019,3702502
 23568,23568,23568,vivienda,1,28/05/2018,16/06/2019,1981056
 23569,23569,23569,habitación vivienda universitaria,1,25/06/2018,21/02/2018,3794252
 23570,23570,23570,habitación vivienda universitaria,0,24/11/2019,25/02/2020,1721070
 23571,23571,23571,suite vivienda universitaria,1,17/02/2020,20/10/2019,3921361
 23572,23572,23572,habitación hotel,0,16/03/2018,14/11/2018,1942512
 23573,23573,23573,habitación hotel,0,24/02/2018,03/06/2018,2947138
 23574,23574,23574,suite vivienda universitaria,1,01/09/2019,20/03/2019,3528330
 23575,23575,23575,suite vivienda universitaria,1,24/06/2019,28/03/2019,170818
 23576,23576,23576,suite vivienda universitaria,1,10/09/2019,02/04/2019,958084
 23577,23577,23577,habitación vivienda ,0,27/10/2019,15/06/2019,3115106
 23578,23578,23578,suite hotel,0,28/03/2019,30/04/2020,3586881
 23579,23579,23579,suite vivienda universitaria,0,15/07/2019,28/01/2018,2338870
 23580,23580,23580,habitación vivienda ,1,02/02/2018,05/01/2020,3990501
 23581,23581,23581,vivienda,1,22/06/2019,20/11/2019,2882352
 23582,23582,23582,suite hotel,0,17/05/2018,14/03/2019,2187702
 23583,23583,23583,suite vivienda universitaria,1,07/01/2020,24/05/2019,2162212
 23584,23584,23584,habitación hotel,0,28/10/2018,07/03/2019,1589258
 23585,23585,23585,habitación vivienda universitaria,0,31/01/2020,01/12/2018,316263
 23586,23586,23586,suite vivienda universitaria,0,10/01/2019,31/08/2018,3248299
 23587,23587,23587,habitación vivienda universitaria,0,12/05/2019,03/03/2019,2150010
 23588,23588,23588,suite hotel,0,22/12/2019,18/05/2018,1510233
 23589,23589,23589,habitación vivienda universitaria,0,15/01/2019,24/02/2020,3991611
 23590,23590,23590,habitación hostal,1,17/08/2018,22/01/2020,677154
 23591,23591,23591,vivienda,0,15/08/2018,10/05/2019,2218231
 23592,23592,23592,habitación vivienda universitaria,1,03/03/2020,09/01/2018,796591
 23593,23593,23593,habitación hostal,1,21/02/2019,03/02/2018,2612857
 23594,23594,23594,habitación vivienda ,1,02/08/2018,13/09/2018,727579
 23595,23595,23595,habitación vivienda ,1,16/02/2018,21/03/2019,2783541
 23596,23596,23596,habitación hostal,1,25/09/2018,17/11/2018,767177
 23597,23597,23597,habitación hostal,1,18/11/2018,01/01/2018,2974130
 23598,23598,23598,suite hotel,0,10/03/2018,12/10/2018,3511925
 23599,23599,23599,suite vivienda universitaria,0,04/02/2020,04/04/2019,3029084
 23600,23600,23600,vivienda,0,12/10/2018,07/08/2018,2728536
 23601,23601,23601,habitación hotel,1,30/11/2019,19/09/2019,3676802
 23602,23602,23602,habitación vivienda ,1,12/08/2019,24/12/2018,1054543
 23603,23603,23603,habitación vivienda ,1,08/03/2020,28/09/2019,482209
 23604,23604,23604,suite vivienda universitaria,1,04/03/2019,16/04/2019,272283
 23605,23605,23605,habitación hostal,1,11/12/2019,05/11/2018,3909284
 23606,23606,23606,habitación vivienda ,0,15/12/2018,21/04/2018,3001874
 23607,23607,23607,vivienda,0,26/02/2018,01/03/2018,2126585
 23608,23608,23608,habitación vivienda universitaria,1,04/10/2018,22/01/2020,3468559
 23609,23609,23609,suite vivienda universitaria,0,02/05/2019,24/11/2019,3823828
 23610,23610,23610,habitación vivienda universitaria,1,02/11/2019,12/01/2020,427876
 23611,23611,23611,habitación vivienda ,1,15/04/2018,11/11/2018,815356
 23612,23612,23612,habitación hotel,1,04/10/2018,13/09/2018,2682843
 23613,23613,23613,suite hotel,0,12/06/2018,13/09/2019,1017000
 23614,23614,23614,suite vivienda universitaria,0,05/04/2019,19/06/2019,3327153
 23615,23615,23615,habitación vivienda ,0,23/01/2018,26/04/2019,1815802
 23616,23616,23616,habitación hostal,0,14/01/2018,11/06/2019,2648731
 23617,23617,23617,habitación hotel,0,20/12/2019,15/02/2019,1274595
 23618,23618,23618,habitación hotel,0,23/10/2018,12/12/2018,2145760
 23619,23619,23619,suite hotel,1,02/04/2019,01/02/2018,3343564
 23620,23620,23620,suite hotel,0,29/01/2019,04/12/2019,246187
 23621,23621,23621,habitación vivienda ,0,12/11/2019,05/09/2018,1245542
 23622,23622,23622,suite vivienda universitaria,1,12/05/2020,07/03/2020,2192577
 23623,23623,23623,vivienda,1,17/03/2018,05/08/2019,1238257
 23624,23624,23624,suite hotel,1,24/02/2020,20/05/2018,3958871
 23625,23625,23625,habitación hotel,1,05/05/2019,22/01/2019,1280314
 23626,23626,23626,habitación vivienda ,1,14/09/2019,23/10/2019,1448750
 23627,23627,23627,habitación hotel,0,10/01/2020,23/03/2019,3528896
 23628,23628,23628,suite vivienda universitaria,0,03/10/2018,25/02/2019,2049754
 23629,23629,23629,suite hotel,1,09/12/2018,21/06/2019,3559579
 23630,23630,23630,suite hotel,0,16/07/2019,19/10/2019,2721120
 23631,23631,23631,suite vivienda universitaria,1,02/03/2019,06/05/2018,692247
 23632,23632,23632,suite vivienda universitaria,0,04/08/2019,03/01/2020,1602293
 23633,23633,23633,vivienda,0,15/12/2019,16/06/2019,2968193
 23634,23634,23634,habitación hostal,0,12/02/2019,13/09/2018,1840385
 23635,23635,23635,habitación hotel,0,11/07/2018,17/10/2019,1771355
 23636,23636,23636,suite vivienda universitaria,0,01/08/2018,17/01/2018,2318556
 23637,23637,23637,habitación hostal,0,25/02/2019,08/01/2018,3466526
 23638,23638,23638,vivienda,0,29/01/2018,02/11/2019,3544200
 23639,23639,23639,suite hotel,1,27/04/2019,22/04/2018,3350443
 23640,23640,23640,habitación hotel,0,21/02/2018,13/02/2020,3603706
 23641,23641,23641,vivienda,0,09/05/2018,31/01/2018,439416
 23642,23642,23642,suite hotel,1,21/02/2018,08/06/2019,472583
 23643,23643,23643,habitación vivienda universitaria,0,31/08/2019,27/01/2018,3950357
 23644,23644,23644,suite hotel,0,11/11/2019,07/07/2019,2025929
 23645,23645,23645,vivienda,0,24/10/2018,24/06/2019,3368245
 23646,23646,23646,suite hotel,0,29/04/2019,04/12/2018,3538562
 23647,23647,23647,vivienda,1,29/02/2020,08/01/2019,523011
 23648,23648,23648,habitación vivienda ,1,09/03/2018,23/02/2019,599094
 23649,23649,23649,suite vivienda universitaria,0,05/04/2019,11/11/2018,329916
 23650,23650,23650,habitación vivienda universitaria,1,17/04/2020,16/05/2019,1209855
 23651,23651,23651,habitación vivienda ,0,22/01/2018,14/04/2018,1080779
 23652,23652,23652,habitación hotel,1,10/04/2020,18/05/2020,1045392
 23653,23653,23653,habitación hostal,0,16/10/2019,02/09/2019,2963493
 23654,23654,23654,habitación hotel,1,04/07/2018,24/04/2019,1622478
 23655,23655,23655,habitación hostal,0,07/11/2018,05/01/2019,3656673
 23656,23656,23656,habitación hotel,0,13/01/2018,09/04/2020,2311345
 23657,23657,23657,habitación vivienda universitaria,0,01/04/2018,17/09/2019,3820247
 23658,23658,23658,habitación hotel,1,17/05/2018,26/03/2020,653723
 23659,23659,23659,habitación hotel,1,16/03/2020,15/04/2020,2129912
 23660,23660,23660,habitación vivienda universitaria,1,08/07/2019,16/02/2020,1357605
 23661,23661,23661,habitación vivienda universitaria,0,22/09/2018,15/08/2019,1911708
 23662,23662,23662,vivienda,0,13/06/2019,30/10/2019,1003900
 23663,23663,23663,suite vivienda universitaria,0,10/01/2020,30/01/2019,1896802
 23664,23664,23664,suite hotel,1,12/12/2019,04/02/2018,1914061
 23665,23665,23665,suite vivienda universitaria,1,07/09/2019,09/03/2018,312485
 23666,23666,23666,habitación vivienda ,1,06/09/2018,01/11/2019,2934901
 23667,23667,23667,habitación vivienda ,0,21/02/2018,06/03/2018,441196
 23668,23668,23668,suite hotel,0,01/11/2019,14/05/2019,1837538
 23669,23669,23669,suite vivienda universitaria,1,12/06/2019,31/01/2018,1503871
 23670,23670,23670,habitación hostal,0,08/02/2020,04/10/2019,1358603
 23671,23671,23671,vivienda,1,24/08/2018,05/11/2019,2238778
 23672,23672,23672,habitación vivienda ,0,08/08/2019,13/07/2018,2307397
 23673,23673,23673,habitación vivienda ,1,11/01/2018,13/01/2018,1807356
 23674,23674,23674,suite vivienda universitaria,1,19/09/2018,31/03/2018,3326372
 23675,23675,23675,habitación hostal,1,30/04/2018,22/06/2018,1137037
 23676,23676,23676,habitación vivienda ,1,28/06/2019,14/05/2020,1613809
 23677,23677,23677,habitación vivienda universitaria,0,28/11/2019,26/01/2020,851517
 23678,23678,23678,habitación hotel,1,02/02/2018,25/04/2018,1534100
 23679,23679,23679,suite hotel,0,16/02/2019,21/05/2019,2080590
 23680,23680,23680,habitación vivienda ,0,16/04/2019,22/07/2019,3114006
 23681,23681,23681,habitación hotel,0,20/05/2018,21/11/2019,3723714
 23682,23682,23682,suite hotel,1,02/11/2018,14/01/2020,1682702
 23683,23683,23683,suite vivienda universitaria,0,12/05/2018,01/02/2019,2079122
 23684,23684,23684,habitación hostal,1,22/07/2019,07/09/2018,3040613
 23685,23685,23685,vivienda,1,09/02/2018,24/02/2020,770779
 23686,23686,23686,habitación vivienda ,1,04/12/2018,11/12/2019,898593
 23687,23687,23687,vivienda,0,19/02/2018,08/10/2018,3796346
 23688,23688,23688,vivienda,1,21/07/2019,23/09/2019,629310
 23689,23689,23689,suite vivienda universitaria,1,19/02/2018,20/12/2018,318710
 23690,23690,23690,habitación vivienda ,0,09/10/2019,28/07/2018,1551618
 23691,23691,23691,habitación vivienda ,1,16/07/2018,25/04/2019,246152
 23692,23692,23692,habitación hotel,0,04/09/2019,23/11/2018,3711604
 23693,23693,23693,habitación hostal,0,09/10/2019,08/12/2018,2116501
 23694,23694,23694,vivienda,1,18/01/2018,17/04/2020,2168368
 23695,23695,23695,habitación vivienda ,1,02/02/2019,23/09/2019,168051
 23696,23696,23696,habitación vivienda ,0,12/10/2019,08/12/2018,1949968
 23697,23697,23697,habitación hotel,1,16/07/2019,09/12/2018,1410349
 23698,23698,23698,suite hotel,1,08/03/2019,25/06/2019,2109291
 23699,23699,23699,habitación vivienda universitaria,1,20/06/2018,24/09/2018,285034
 23700,23700,23700,suite vivienda universitaria,0,08/09/2018,29/08/2018,1237169
 23701,23701,23701,habitación vivienda ,0,13/10/2019,30/09/2019,743634
 23702,23702,23702,suite hotel,1,29/01/2019,18/07/2019,3366211
 23703,23703,23703,suite vivienda universitaria,1,29/03/2019,15/07/2019,2344731
 23704,23704,23704,habitación vivienda universitaria,1,20/06/2019,12/02/2019,3787828
 23705,23705,23705,suite vivienda universitaria,0,23/07/2019,05/11/2019,1019958
 23706,23706,23706,suite hotel,0,13/06/2018,29/12/2018,480968
 23707,23707,23707,vivienda,0,11/02/2019,01/03/2019,2901730
 23708,23708,23708,suite hotel,0,12/04/2020,09/04/2019,2507438
 23709,23709,23709,habitación hotel,1,16/05/2020,05/06/2019,3084222
 23710,23710,23710,habitación vivienda ,0,27/03/2020,17/08/2018,3228683
 23711,23711,23711,habitación vivienda universitaria,0,13/01/2020,16/01/2018,3738665
 23712,23712,23712,habitación hostal,0,04/01/2018,01/01/2018,3492121
 23713,23713,23713,suite vivienda universitaria,0,15/06/2019,16/02/2020,219230
 23714,23714,23714,habitación hotel,0,20/01/2019,04/01/2019,1567185
 23715,23715,23715,habitación vivienda ,0,14/06/2018,03/11/2019,2268325
 23716,23716,23716,suite hotel,1,24/05/2018,20/01/2020,1341782
 23717,23717,23717,suite vivienda universitaria,0,01/11/2019,13/07/2019,924012
 23718,23718,23718,habitación vivienda universitaria,1,06/01/2020,03/06/2018,2588716
 23719,23719,23719,habitación hotel,0,20/07/2019,25/01/2020,1691170
 23720,23720,23720,habitación vivienda universitaria,0,19/08/2019,22/09/2019,813567
 23721,23721,23721,vivienda,1,05/01/2018,14/02/2020,3302419
 23722,23722,23722,habitación hostal,0,10/11/2018,25/03/2019,2591381
 23723,23723,23723,habitación hostal,0,26/03/2020,05/04/2020,1362559
 23724,23724,23724,suite hotel,1,18/04/2020,20/08/2019,2231125
 23725,23725,23725,vivienda,1,18/07/2018,30/12/2018,1779180
 23726,23726,23726,habitación hotel,0,17/04/2019,04/04/2018,3785900
 23727,23727,23727,suite hotel,0,07/05/2020,06/08/2019,3815710
 23728,23728,23728,habitación hotel,0,17/05/2018,10/11/2019,1524302
 23729,23729,23729,habitación hostal,0,06/03/2018,03/04/2020,152875
 23730,23730,23730,vivienda,0,10/01/2019,03/11/2018,3348323
 23731,23731,23731,habitación hostal,0,21/06/2019,29/01/2018,2949654
 23732,23732,23732,vivienda,1,23/08/2018,06/08/2018,2442350
 23733,23733,23733,habitación hostal,0,25/03/2018,30/06/2019,2159287
 23734,23734,23734,vivienda,0,14/12/2019,12/05/2018,2977441
 23735,23735,23735,vivienda,0,06/01/2020,05/02/2018,1216313
 23736,23736,23736,habitación hostal,1,26/02/2019,06/10/2019,286545
 23737,23737,23737,suite hotel,1,27/12/2019,17/11/2018,344702
 23738,23738,23738,habitación vivienda ,1,25/02/2018,21/05/2018,1379438
 23739,23739,23739,suite hotel,0,22/03/2020,06/03/2018,2846018
 23740,23740,23740,habitación hostal,1,15/09/2018,25/10/2019,3484351
 23741,23741,23741,habitación hostal,0,22/06/2018,08/03/2020,3185943
 23742,23742,23742,suite vivienda universitaria,1,10/01/2020,28/05/2019,3642542
 23743,23743,23743,suite vivienda universitaria,1,09/03/2020,05/10/2018,1580525
 23744,23744,23744,suite hotel,1,29/06/2018,22/03/2018,1148040
 23745,23745,23745,habitación hostal,0,14/05/2020,13/08/2018,1381505
 23746,23746,23746,vivienda,0,16/02/2019,16/03/2019,1546837
 23747,23747,23747,vivienda,1,26/01/2019,08/03/2019,2312154
 23748,23748,23748,habitación vivienda universitaria,1,05/05/2018,17/11/2019,1599792
 23749,23749,23749,habitación vivienda universitaria,1,16/05/2019,11/04/2019,2731201
 23750,23750,23750,vivienda,1,22/02/2019,29/09/2019,376021
 23751,23751,23751,habitación hostal,0,11/10/2019,01/11/2019,1666075
 23752,23752,23752,habitación vivienda universitaria,1,07/10/2018,08/04/2020,3266629
 23753,23753,23753,habitación vivienda universitaria,0,23/07/2019,13/06/2019,890710
 23754,23754,23754,habitación hotel,0,14/06/2019,07/09/2018,611275
 23755,23755,23755,habitación hotel,1,12/03/2018,25/12/2018,1240589
 23756,23756,23756,suite vivienda universitaria,0,09/10/2018,01/02/2020,1539560
 23757,23757,23757,suite vivienda universitaria,1,24/02/2018,23/03/2019,2251337
 23758,23758,23758,habitación vivienda universitaria,0,17/12/2018,16/05/2019,129663
 23759,23759,23759,suite vivienda universitaria,0,15/05/2020,30/03/2020,2994941
 23760,23760,23760,habitación hotel,0,23/05/2018,18/09/2019,3245909
 23761,23761,23761,suite vivienda universitaria,1,28/09/2018,03/04/2019,3018879
 23762,23762,23762,vivienda,0,20/04/2019,05/08/2019,2507076
 23763,23763,23763,habitación vivienda universitaria,1,28/02/2020,28/05/2019,1835385
 23764,23764,23764,habitación vivienda universitaria,0,07/08/2018,02/01/2020,1461249
 23765,23765,23765,habitación vivienda ,1,30/05/2019,29/05/2019,3778481
 23766,23766,23766,habitación vivienda ,1,27/11/2018,25/10/2018,659436
 23767,23767,23767,habitación hotel,0,20/11/2018,02/02/2018,1800921
 23768,23768,23768,habitación hotel,0,07/03/2018,31/03/2020,500763
 23769,23769,23769,suite vivienda universitaria,0,13/10/2018,17/08/2019,1443519
 23770,23770,23770,habitación vivienda universitaria,1,12/07/2018,22/01/2018,3984663
 23771,23771,23771,habitación vivienda ,0,24/09/2019,27/10/2018,3955948
 23772,23772,23772,habitación hotel,0,19/11/2018,14/08/2019,1464819
 23773,23773,23773,vivienda,0,24/11/2019,28/07/2018,927876
 23774,23774,23774,habitación vivienda ,1,05/11/2018,10/01/2020,1433589
