ID, NOMBRE, REGISTROCAMARACOMERCIO, TIENESALAESTUDIO, TIENESALAESPARCIMIENTO, TIENEGIMNASIO, TIENERESTAURANTE 
 lectus ullamcorper bibendum,76135 East Antarctica Ave.,33871,33871,0,0,0,0
 metus Donec condimentum,157 East Senegal Way,33872,33872,0,1,0,1
 sit nibh conubia,95116 South Hollister Ave.,33873,33873,0,0,0,1
 blandit nostra augue,61316 North Central African Republic Way,33874,33874,1,1,0,1
 Ut augue elit,63751 West Macao Ct.,33875,33875,0,0,0,1
 Fusce non accumsan,64516 South Trinidad and Tobago Ln.,33876,33876,0,0,0,0
 senectus at Curae,92988 South Bhutan Way,33877,33877,1,1,0,1
 tristique primis rutrum,19276  Guinea Way,33878,33878,1,0,0,1
 pretium augue in,9439 North Nicaragua Way,33879,33879,1,1,0,0
 accumsan vulputate et,11131 East Duluth Ave.,33880,33880,0,1,0,1
 habitant Vestibulum morbi,93295 East Bhutan St.,33881,33881,0,1,0,1
 eros Suspendisse iaculis,86810 East Belgium Blvd.,33882,33882,1,0,1,1
 mollis neque vestibulum,83001 West Christmas Island Way,33883,33883,0,1,0,0
 consequat arcu molestie,4567 West Holy See Vatican City State Ln.,33884,33884,1,0,1,0
 faucibus libero dignissim,81342 East Samoa Way,33885,33885,0,0,1,0
 facilisis facilisis Aliquam,13370 East Sweden Blvd.,33886,33886,0,1,1,0
 morbi nunc habitant,50640 West British Indian Ocean Territory Ln.,33887,33887,1,0,0,0
 ridiculus habitant elit,36786 South Burkina Faso Ave.,33888,33888,0,0,0,1
 sociosqu egestas blandit,14127 South Puerto Rico Ave.,33889,33889,1,1,0,0
 litora aptent lorem,90790 West American Samoa Ave.,33890,33890,1,1,0,0
 Maecenas imperdiet sollicitudin,46674 North Enfield St.,33891,33891,1,1,0,1
 magna per nascetur,45919  Aruba Way,33892,33892,1,0,1,1
 Proin Sed Fusce,65137 South Cameroon St.,33893,33893,0,1,1,0
 Praesent rutrum Nullam,83084 South Nauru Blvd.,33894,33894,1,1,0,0
 purus per enim,13116 East Comoros Ln.,33895,33895,0,1,1,0
 iaculis ullamcorper venenatis,44294 South Ames Blvd.,33896,33896,0,0,1,1
 ultrices congue mauris,2720 East Florence St.,33897,33897,1,0,1,1
 sapien pharetra posuere,98393 West Japan Ct.,33898,33898,0,0,1,0
 Pellentesque mus primis,50052 East Bouvet Island Ct.,33899,33899,0,1,0,1
 fermentum interdum ante,44953  Kalamazoo Ave.,33900,33900,1,1,0,1
 eu pede varius,42146 North Duncan Way,33901,33901,1,1,0,1
 purus ullamcorper per,1722 South New Castle Blvd.,33902,33902,1,0,1,1
 Nunc fringilla nisl,29009  Botswana Blvd.,33903,33903,0,0,0,1
 dis non ornare,99860 South Bermuda Ln.,33904,33904,1,1,1,1
 ligula auctor lacus,10286 East Monroe Ave.,33905,33905,0,1,1,1
 adipiscing risus Nam,93024 South Uruguay Ave.,33906,33906,0,0,1,0
 sapien non leo,1417 South Tanzania, United Republic of Ave.,33907,33907,0,0,1,1
 urna pretium turpis,3729  Holy See Vatican City State Blvd.,33908,33908,1,0,1,1
 Cras sit Pellentesque,82475 East American Samoa Ave.,33909,33909,1,1,1,0
 aptent sapien Proin,90202 South Reunion Blvd.,33910,33910,1,0,1,1
 primis egestas dui,46693 South Cook Islands St.,33911,33911,1,1,0,1
 neque suscipit Maecenas,68522 East Barbados Blvd.,33912,33912,0,0,1,1
 augue a erat,91188 North Bangladesh Ln.,33913,33913,0,0,0,1
 ultrices velit turpis,78788  Anguilla Ln.,33914,33914,1,0,0,0
 nunc sollicitudin Aliquam,21180  Poland Way,33915,33915,1,1,0,0
 Fusce malesuada Duis,48242  Kalispell St.,33916,33916,0,1,1,0
 cursus urna tincidunt,20113 South Mozambique Blvd.,33917,33917,1,1,0,1
 velit luctus fermentum,8696 North Saint Vincent and The Grenadines St.,33918,33918,1,0,1,1
 Fusce nostra pellentesque,3273 North Frankfort Blvd.,33919,33919,1,0,1,0
 porttitor ultrices auctor,64955 South Ames Ct.,33920,33920,0,1,0,1
 Morbi eget penatibus,38913 West Bangor St.,33921,33921,1,1,1,1
 mattis dis turpis,30238  Brunei Darussalam Blvd.,33922,33922,0,1,1,0
 fames Fusce vestibulum,23163 South Aliso Viejo Way,33923,33923,1,0,0,0
 Sed at montes,40169 North Netherlands Blvd.,33924,33924,1,1,0,0
 volutpat convallis condimentum,40292 East Mauritania Ave.,33925,33925,0,0,1,1
 diam mus aliquet,12877 West Midland Way,33926,33926,0,1,1,1
 pretium hymenaeos Nullam,78112  Marshall Islands Ln.,33927,33927,1,0,1,1
 Maecenas pulvinar convallis,92085  Cortland Way,33928,33928,1,0,1,0
 dignissim viverra facilisi,66315 East Biloxi Ct.,33929,33929,1,1,0,0
 fermentum magnis odio,79007 West Guthrie St.,33930,33930,1,0,1,0
 consequat Nulla feugiat,73709 East Kiribati Blvd.,33931,33931,0,1,1,1
 pellentesque eros Pellentesque,12904 East Denmark Blvd.,33932,33932,1,0,0,0
 velit natoque dapibus,98069 South Pottsville Ave.,33933,33933,1,1,1,0
 turpis sociosqu consectetuer,48674 North Bangladesh Blvd.,33934,33934,0,0,1,1
 senectus habitant Quisque,92215 South Duquesne Blvd.,33935,33935,0,1,0,0
 non pretium consequat,21555 North Cameroon Blvd.,33936,33936,0,1,0,0
 urna lacinia Aliquam,24002 North Kyrgyzstan Ave.,33937,33937,0,0,1,0
 felis lacus Aenean,21197 East La Jolla Ave.,33938,33938,0,1,0,1
 vitae magna imperdiet,95231 South Auburn Ave.,33939,33939,0,0,1,1
 sem litora Duis,8742 South Colorado Springs Way,33940,33940,0,1,0,1
 placerat lobortis posuere,12247 West Centennial Way,33941,33941,0,1,0,0
 mi convallis consequat,51275 West Charleston Way,33942,33942,1,1,1,1
 urna eget ad,41479 South Austria Ln.,33943,33943,0,1,0,0
 adipiscing nonummy accumsan,44081 South Cocos Keeling Islands Way,33944,33944,1,1,1,1
 Duis odio nisi,79488 West Andorra Blvd.,33945,33945,1,0,0,1
 Cras lacinia vulputate,80571 West Bahrain Way,33946,33946,0,0,0,1
 nisi sem Nulla,7084 East Barbados Blvd.,33947,33947,0,0,0,1
 gravida porta dui,35828 North Swaziland Ct.,33948,33948,1,1,1,1
 inceptos pharetra senectus,65868 West Bulgaria Blvd.,33949,33949,0,1,1,0
 natoque nonummy imperdiet,85272 East Moorhead Way,33950,33950,0,0,1,0
 mauris dis ornare,91539 East Bhutan Blvd.,33951,33951,0,1,1,1
 lacinia ante luctus,94332  Lock Haven Ct.,33952,33952,1,1,1,0
 sociis pellentesque pulvinar,18268 West Luxembourg Ave.,33953,33953,1,1,0,1
 Sed porttitor accumsan,12664  Thailand St.,33954,33954,0,1,1,0
 vitae dignissim libero,28524 North Brunei Darussalam Ct.,33955,33955,0,1,1,0
 sollicitudin sollicitudin aptent,33054 East Cedar Falls Ln.,33956,33956,0,0,1,1
 penatibus odio tristique,49973 East Lahaina Way,33957,33957,1,0,0,0
 amet euismod volutpat,72224 East Chile Ave.,33958,33958,0,1,0,0
 purus In pede,62585 West Congo St.,33959,33959,0,1,1,1
 metus Maecenas arcu,72727  Brazil Ct.,33960,33960,1,0,1,1
 tortor consequat nonummy,98614  Malibu Way,33961,33961,1,1,0,1
 faucibus Fusce ligula,65885 East Hammond Ct.,33962,33962,1,1,1,0
 vestibulum fermentum dignissim,62104 West Saint Lucia Ln.,33963,33963,1,1,1,1
 mauris viverra litora,39953  North Platte St.,33964,33964,1,1,0,0
 ultrices odio habitant,27639 North Cayman Islands Ave.,33965,33965,1,1,1,0
 Vestibulum imperdiet vulputate,19198 North Algeria Way,33966,33966,0,1,0,1
 imperdiet dapibus odio,21193 West Brazil Ct.,33967,33967,1,0,0,0
 Etiam ullamcorper Donec,30281 East Samoa Ct.,33968,33968,1,0,1,1
 pulvinar sit facilisi,78769  Moldova Ct.,33969,33969,1,1,0,0
 volutpat nulla Nullam,71125 North Falkland Islands Malvinas St.,33970,33970,0,0,1,0
 dolor ac tincidunt,81036 North Peoria Ct.,33971,33971,0,1,0,0
 dapibus facilisis faucibus,69230 South Mauritania St.,33972,33972,1,1,0,0
 nascetur aliquet Lorem,81719 East Uganda Ln.,33973,33973,1,1,1,0
 Etiam elit odio,33714  Nauru Ct.,33974,33974,1,0,0,1
 fames convallis fringilla,47859  Cicero Ave.,33975,33975,0,0,1,0
 placerat penatibus natoque,36275 East British Indian Ocean Territory Way,33976,33976,0,1,1,1
 placerat Cras augue,83815  Honduras Ct.,33977,33977,0,1,1,1
 mauris ac est,55158 West Sri Lanka St.,33978,33978,0,1,1,1
 nascetur lectus pharetra,2198 North Gastonia Ct.,33979,33979,0,0,0,0
 ad orci iaculis,56763 North Namibia Blvd.,33980,33980,0,0,0,0
 venenatis Fusce pellentesque,83237 North Bouvet Island Ave.,33981,33981,0,1,1,1
 dolor sociosqu tincidunt,740 North Italy Blvd.,33982,33982,1,1,0,0
 Mauris Fusce auctor,96819  Philippines Ave.,33983,33983,1,0,1,0
 et elit est,4161 North Turkey Way,33984,33984,0,1,1,1
 odio iaculis Praesent,29435 South Bahamas Ct.,33985,33985,0,0,1,0
 conubia lacinia mus,15063  Grenada Ln.,33986,33986,1,1,0,1
 elit a In,12349 East Carson City Ct.,33987,33987,0,0,1,0
 Lorem velit imperdiet,97537 South Congo Way,33988,33988,0,1,0,0
 fermentum sit senectus,27761 North Antigua and Barbuda Way,33989,33989,1,1,1,0
 est natoque bibendum,6920 North Zambia St.,33990,33990,1,1,1,1
 iaculis In ullamcorper,65141 East New Zealand St.,33991,33991,0,0,1,1
 penatibus venenatis id,16024 West Macedonia Ave.,33992,33992,0,1,0,1
 sit felis nibh,2412 South Brunei Darussalam Ct.,33993,33993,1,1,0,0
 laoreet consequat vulputate,10600  Equatorial Guinea Ln.,33994,33994,1,1,1,1
 Curae inceptos mauris,64807 South Aruba Ave.,33995,33995,0,0,0,1
 lorem ut fringilla,99656 North Kiribati St.,33996,33996,1,0,1,0
 hymenaeos pulvinar vitae,5766 East Clarksburg Ave.,33997,33997,1,0,0,0
 cubilia lacinia iaculis,45092 South Lock Haven Way,33998,33998,1,1,1,1
 convallis sagittis turpis,11825 West Gulfport Ct.,33999,33999,1,1,1,1
 mattis Cras elit,5066 East Taiwan, Province of China Ct.,34000,34000,1,0,1,0
 est per aliquet,157 West Bahrain Ln.,34001,34001,1,1,0,0
 nibh vulputate rutrum,61592 South Greensboro Ave.,34002,34002,0,0,1,0
 ligula laoreet leo,67956 South Canada St.,34003,34003,1,0,1,0
 netus nisi consequat,8377 North DuBois Way,34004,34004,1,1,1,1
 taciti elit sodales,533 North Perth Amboy St.,34005,34005,0,1,1,1
 facilisi ullamcorper placerat,72487 North Burkina Faso St.,34006,34006,1,1,1,0
 urna condimentum ultrices,35378 West Grand Rapids Way,34007,34007,0,0,0,1
 morbi nunc elementum,75267 South Oil City Blvd.,34008,34008,1,0,0,0
 velit mollis In,82887 North Papua New Guinea Blvd.,34009,34009,1,1,0,1
 auctor aliquam consequat,26790 West Derby Ct.,34010,34010,1,1,0,0
 primis nunc Vivamus,13485 South Guyana Ln.,34011,34011,0,1,1,1
 sit neque luctus,17798 East Saint Helena St.,34012,34012,1,1,0,1
 interdum faucibus vitae,31917 South Guinea Way,34013,34013,0,1,0,1
 cursus tristique hymenaeos,42199  Cocos Keeling Islands Blvd.,34014,34014,0,0,1,1
 Sed Lorem mattis,45321  Turkmenistan Way,34015,34015,1,1,0,0
 nisi mollis arcu,82024 East Angola Ct.,34016,34016,0,1,0,0
 volutpat iaculis Vestibulum,78119 West Burbank Ave.,34017,34017,1,1,1,0
 pede parturient montes,10536 South Gambia Way,34018,34018,1,1,0,0
 arcu pulvinar ultricies,41524 North Bangladesh St.,34019,34019,1,0,0,1
 mollis Phasellus commodo,21519 West Kiribati St.,34020,34020,0,1,1,0
 Morbi neque nibh,77358 East Glens Falls Ct.,34021,34021,0,1,0,0
 Cras sed sociosqu,65609 North Malawi Blvd.,34022,34022,0,0,1,1
 Lorem Etiam scelerisque,99868 North Maldives Blvd.,34023,34023,1,0,0,1
 felis molestie commodo,10875 East Lewiston Way,34024,34024,1,1,1,0
 Cum ornare magnis,95988 North Bellflower St.,34025,34025,0,0,1,0
 turpis a odio,4435 West Solomon Islands Blvd.,34026,34026,1,1,0,1
 Maecenas Lorem fringilla,81164 East Guinea Way,34027,34027,0,0,0,1
 tempus Praesent laoreet,30570 North Baytown Way,34028,34028,1,0,0,0
 sollicitudin dapibus Integer,29791 East DeKalb St.,34029,34029,1,0,0,0
 fames senectus Curabitur,45621 South Iceland Ct.,34030,34030,1,1,0,1
 nibh lobortis sociis,60715 North Marshall St.,34031,34031,0,1,0,1
 lacinia felis malesuada,6548  Bosnia and Herzegovina Ct.,34032,34032,1,1,1,1
 enim congue magna,44234 North Malawi Ct.,34033,34033,0,0,1,0
 vel magna convallis,97661 North British Indian Ocean Territory Blvd.,34034,34034,1,0,1,0
 pede pellentesque vel,1026  Duluth Ct.,34035,34035,0,0,1,0
 libero feugiat lacus,39988 South Cayman Islands Way,34036,34036,1,0,0,0
 dis varius libero,42408 South Bouvet Island Ct.,34037,34037,0,0,1,0
 enim eget lobortis,10113 East Bangladesh Way,34038,34038,1,0,1,1
 nulla Integer molestie,27562 North Latvia Ln.,34039,34039,0,1,1,0
 vestibulum sem morbi,45995  Malta Way,34040,34040,1,1,0,1
 tellus senectus ad,66803 South Palestinian Territory, Occupied Ct.,34041,34041,1,0,0,0
 ullamcorper ante rhoncus,3340 East Fitchburg Ave.,34042,34042,1,0,0,1
 urna semper hymenaeos,94540 South Iraq Ln.,34043,34043,0,0,1,0
 mauris in mi,21818  Botswana Way,34044,34044,0,1,1,1
 dis ridiculus Nulla,23614 West Antigua and Barbuda Way,34045,34045,0,0,1,1
 sem penatibus amet,98148 South Ethiopia Blvd.,34046,34046,1,1,1,0
 hendrerit adipiscing Aliquam,16787 North Enfield Way,34047,34047,0,1,1,0
 ultrices tortor penatibus,67371  Belarus Ln.,34048,34048,1,0,0,0
 iaculis pellentesque netus,46050 North Costa Rica Ave.,34049,34049,1,1,1,1
 ante molestie tristique,21446 East New Caledonia St.,34050,34050,0,0,1,1
 a adipiscing in,29803 West Ecuador Ave.,34051,34051,0,1,0,0
 Fusce justo velit,17322  Equatorial Guinea Ct.,34052,34052,0,1,1,0
 litora volutpat sapien,7372 East Mobile Ct.,34053,34053,0,1,1,1
 a ultricies odio,84964 West Duluth Ave.,34054,34054,1,0,0,0
 consequat Aenean arcu,34539  Liechtenstein St.,34055,34055,1,0,1,0
 nascetur fringilla Pellentesque,27164 North Taiwan, Province of China Blvd.,34056,34056,0,1,1,0
 mus imperdiet mauris,18351 West Northern Mariana Islands Ln.,34057,34057,1,0,1,1
 erat mauris nonummy,11900 North Australia Ln.,34058,34058,1,1,0,1
 accumsan quis nascetur,70822 North Uganda St.,34059,34059,0,1,1,0
 luctus primis lacus,41003 South Lufkin St.,34060,34060,1,0,1,1
 Cum Praesent arcu,55885 North Tokelau St.,34061,34061,1,1,0,1
 ante accumsan pellentesque,57659 South Chile Way,34062,34062,1,0,0,1
 Morbi Cum montes,20113 West Kazakhstan St.,34063,34063,0,0,0,1
 nulla imperdiet Nulla,18921 West Detroit Ct.,34064,34064,1,1,0,1
 habitant dolor aliquet,61985 North Eritrea Blvd.,34065,34065,1,0,0,1
 Sed Ut Ut,49551 East Gibraltar Ln.,34066,34066,0,0,1,0
 suscipit felis rhoncus,28429 West Afghanistan Blvd.,34067,34067,1,0,0,1
 consectetuer facilisis eget,33859 East Healdsburg Blvd.,34068,34068,1,0,1,0
 ante sem Phasellus,89225 East Zimbabwe Ave.,34069,34069,0,1,0,1
 nec Quisque sociosqu,31614 South Galesburg Ln.,34070,34070,0,0,1,0
 justo est Quisque,89165 North Papua New Guinea Ave.,34071,34071,0,0,0,0
 sagittis Vestibulum ullamcorper,58874 South Fredericksburg Ave.,34072,34072,1,0,0,1
 placerat Class luctus,11663 West Angola Ln.,34073,34073,1,0,0,1
 fringilla varius Lorem,84951 North Azerbaijan St.,34074,34074,0,1,1,1
 id non hymenaeos,89787 North Bhutan Ave.,34075,34075,1,0,0,1
 rhoncus ut felis,35039 North Isle of Palms Blvd.,34076,34076,1,0,1,0
 Mauris facilisi Aliquam,35756 South Saint Kitts and Nevis Ave.,34077,34077,0,0,0,0
 lacus ligula lectus,80021 South Cape Girardeau Ave.,34078,34078,0,1,0,1
 risus condimentum Pellentesque,34765  Hong Kong Ave.,34079,34079,1,0,0,0
 facilisi malesuada Ut,17231 South Bozeman Ln.,34080,34080,0,1,0,1
 consectetuer senectus Maecenas,14519 East Dayton Ln.,34081,34081,0,1,1,0
 leo sociis Morbi,52761  Dalton Way,34082,34082,1,1,1,1
 vitae nostra eu,77133 North Mauritania Ln.,34083,34083,1,0,1,0
 mus ante Donec,12104 South Angola Ln.,34084,34084,0,1,1,0
 vel fringilla Cras,59042 South Israel Ave.,34085,34085,1,1,0,0
 Curae congue congue,19886 West Luxembourg Ln.,34086,34086,0,1,0,0
 nascetur per quis,29900 West Guadeloupe St.,34087,34087,0,0,0,0
 porta primis magna,71973 South Martinique St.,34088,34088,0,0,0,1
 fringilla posuere habitant,7065 East Dominica Way,34089,34089,1,0,0,1
 per iaculis magna,99972 East Aruba Ln.,34090,34090,1,1,1,0
 dolor iaculis suscipit,99734 West Carrollton Ave.,34091,34091,0,1,0,1
 Class nibh Morbi,1225 East Ashland Blvd.,34092,34092,1,1,0,1
 diam lorem consequat,49696 East United States Minor Outlying Islands Way,34093,34093,0,1,1,1
 neque porta lobortis,64477 North Burundi Blvd.,34094,34094,1,0,1,1
 lectus velit tellus,76495 East Dothan St.,34095,34095,0,1,0,0
 Morbi Integer ut,7433  Saudi Arabia Blvd.,34096,34096,0,0,0,1
 metus torquent sem,20173 North Kyrgyzstan St.,34097,34097,0,0,1,0
 hendrerit habitant In,11590 East Glendale St.,34098,34098,1,1,0,0
 ac interdum eleifend,47755 South Portugal Ln.,34099,34099,0,1,1,0
 montes aptent amet,92208 North Honolulu St.,34100,34100,1,0,0,1
 pretium Cum Nullam,62070 East Burundi Blvd.,34101,34101,1,0,0,0
 ornare varius eu,35861 North Liberia Ave.,34102,34102,1,0,1,0
 at lectus cursus,88294 West Port Washington Ln.,34103,34103,1,0,1,0
 gravida justo consectetuer,45825 North Serbia and Montenegro Way,34104,34104,0,1,1,1
 neque congue massa,9660 West Mali Ave.,34105,34105,0,1,0,1
 netus parturient ac,95682 North Hermitage Way,34106,34106,1,0,0,0
 interdum aptent dolor,31112  Angola Ct.,34107,34107,0,1,1,0
 augue velit Vestibulum,96208 North Chad St.,34108,34108,0,1,0,1
 mollis volutpat adipiscing,79773 West Bloomington Ln.,34109,34109,1,0,0,0
 parturient orci sollicitudin,17202 East Grenada Ct.,34110,34110,1,0,0,0
 mollis ultrices ornare,51607  Flagstaff Way,34111,34111,0,1,0,1
 ante lorem velit,76473 North Kyrgyzstan Way,34112,34112,1,1,0,1
 Cras ullamcorper felis,96444 West Sudan Ct.,34113,34113,0,0,1,1
 vulputate pulvinar nisl,27409 South Basin St.,34114,34114,0,0,0,0
 morbi id dis,50235 North Chula Vista Ct.,34115,34115,1,1,1,0
 id ante sodales,8122 West Niue Ct.,34116,34116,0,0,0,1
 sodales varius Cum,30661 West Zimbabwe Way,34117,34117,1,1,1,1
 vehicula nec convallis,49079  Durango Way,34118,34118,1,1,1,1
 semper sit magnis,88687 South Aruba Ave.,34119,34119,0,1,1,0
 ullamcorper condimentum pretium,5526  Bermuda Ln.,34120,34120,1,1,0,1
 mollis mus lobortis,29301 North Estonia St.,34121,34121,1,0,1,1
 sociis posuere venenatis,99705  Falls Church Ln.,34122,34122,1,0,1,0
 cubilia Duis mus,54710 East Antigua and Barbuda Ave.,34123,34123,0,0,1,1
 nec nunc tortor,33142 South Canandaigua Blvd.,34124,34124,0,1,0,1
 massa pulvinar Duis,36517 East Poughkeepsie Ln.,34125,34125,1,0,1,0
 Curabitur sociis leo,85824 East Costa Rica Ct.,34126,34126,0,1,0,0
 Sed Vivamus in,13125 West Manhattan Way,34127,34127,0,1,0,0
 sociosqu velit tincidunt,45141  Botswana Ln.,34128,34128,0,1,1,1
 sociis per ultrices,8838 East Port Orford Ln.,34129,34129,1,0,0,0
 purus velit pellentesque,59426 North Bulgaria Way,34130,34130,1,0,0,0
 porttitor lacus nostra,4592 South Fairbanks Ave.,34131,34131,0,0,0,0
 elementum Nullam Phasellus,6972 South Palau St.,34132,34132,1,0,1,0
 scelerisque lorem nulla,60060 East Aruba St.,34133,34133,1,0,0,1
 adipiscing turpis lectus,18171 East Malta Way,34134,34134,1,0,1,1
 inceptos pharetra Vivamus,67648 South McAllen Ct.,34135,34135,0,0,0,0
 dolor id dignissim,42820 West Bahrain Way,34136,34136,1,1,1,0
 vehicula per scelerisque,87511 West French Southern Territories St.,34137,34137,1,1,1,0
 tortor volutpat Fusce,60594 West Somalia Ct.,34138,34138,1,1,0,1
 hymenaeos Donec amet,54335 East Brazil Blvd.,34139,34139,1,0,1,1
 consectetuer metus malesuada,93495 North Austria Ave.,34140,34140,0,0,0,0
 nulla enim facilisis,60750  Central African Republic St.,34141,34141,1,1,1,1
 Nunc Mauris suscipit,79946 South Timor-leste Ln.,34142,34142,1,1,0,0
 Nam placerat sociosqu,18598 South Gibraltar Way,34143,34143,1,0,0,0
 gravida Phasellus varius,43251 North Durham Way,34144,34144,1,1,1,1
 Mauris magna luctus,24222 West Korea Ct.,34145,34145,1,0,1,1
 laoreet arcu mauris,63060 East French Southern Territories Way,34146,34146,1,0,1,1
 senectus fermentum sociis,68774 West Cook Islands Way,34147,34147,0,0,0,1
 id Duis hendrerit,27574 South Myanmar St.,34148,34148,1,0,0,0
 laoreet id blandit,93176 East Marshall Islands Ln.,34149,34149,1,0,1,1
 sit rhoncus risus,27387 West Viet Nam Way,34150,34150,0,1,1,0
 suscipit arcu luctus,81569 West Madagascar St.,34151,34151,0,1,0,1
 hymenaeos turpis sagittis,16318  Fairmont Way,34152,34152,1,1,0,0
 laoreet nonummy aliquet,49578  Tunisia Way,34153,34153,0,0,1,0
 laoreet interdum sit,6148 North Grass Valley Ave.,34154,34154,0,0,0,0
 sed ante fringilla,9435 West Luxembourg Way,34155,34155,0,0,0,0
 fermentum pretium cursus,94337 West Bahrain Way,34156,34156,0,0,0,0
 vel inceptos Ut,7129 East South Africa Ave.,34157,34157,0,0,0,1
 tristique ipsum facilisi,46623 South Niger Blvd.,34158,34158,1,0,0,1
 Curae luctus at,61449 East Bouvet Island Ave.,34159,34159,1,0,0,1
 nisl eu interdum,66212 North Bosnia and Herzegovina Ln.,34160,34160,0,1,0,0
 sagittis ut arcu,89606 South Citrus Heights Ave.,34161,34161,0,1,1,1
 euismod est neque,52354  Honduras Ct.,34162,34162,0,1,0,1
 nec sagittis Morbi,73804 North Barbados Way,34163,34163,1,1,0,0
 penatibus at nec,34112 East Wallis and Futuna Ln.,34164,34164,1,1,0,1
 dapibus ornare Cras,10789 North Cook Islands Ave.,34165,34165,1,0,1,0
 felis tortor dictum,54358 North Belgium Way,34166,34166,0,0,1,0
 vulputate sed elementum,9744 North Kettering Ln.,34167,34167,0,0,0,0
 urna tempus nulla,2283 North Brookfield Ave.,34168,34168,1,1,1,0
 diam consectetuer sed,54752 East Clearwater Ln.,34169,34169,1,1,0,0
 eu elementum rhoncus,39604 North Bahamas St.,34170,34170,1,0,0,0
 dui imperdiet Lorem,7206 South Clearwater Ct.,34171,34171,0,0,0,0
 viverra habitant ornare,13567  Morocco Ln.,34172,34172,0,1,1,0
 netus elit fringilla,97577 South Bakersfield St.,34173,34173,0,0,0,0
 Proin amet Vestibulum,48894 South Belarus Blvd.,34174,34174,0,0,1,0
 vehicula netus velit,76884 East Cocos Keeling Islands Ct.,34175,34175,0,0,0,0
 Cras nascetur cubilia,46839 North Liechtenstein Ct.,34176,34176,1,1,1,1
 tristique placerat blandit,39457 South Moldova Ln.,34177,34177,0,0,1,0
 mus mi vitae,83267 East American Samoa Way,34178,34178,1,0,0,1
 mollis eros metus,52330 East Hermitage Way,34179,34179,1,0,1,1
 enim ridiculus consectetuer,26053  Little Rock Blvd.,34180,34180,0,0,1,1
 Nullam enim Cras,16591 South Anguilla Ln.,34181,34181,0,1,0,1
 ut eget in,57903 West Anguilla Way,34182,34182,1,0,0,1
 nec sodales nonummy,6057 West Chad Ct.,34183,34183,1,0,0,0
 Sed tempus sit,30755 East Bentonville Way,34184,34184,0,1,0,0
 tempor tristique litora,11993  Muskegon Ct.,34185,34185,1,0,0,0
 inceptos Nam netus,87839 South Bulgaria Ave.,34186,34186,1,1,1,1
 ad Lorem hendrerit,96033 South Dominican Republic Blvd.,34187,34187,0,1,1,0
 ullamcorper est aliquam,61986 North Bangladesh Ave.,34188,34188,1,1,1,1
 tellus nec Vestibulum,75031  Grenada Ln.,34189,34189,1,1,1,0
 nec eleifend porta,31823 West Ukraine Way,34190,34190,1,0,0,0
 morbi neque natoque,30889 North Green River Ln.,34191,34191,1,1,1,1
 condimentum per porttitor,27430 West Charlotte Amalie Way,34192,34192,1,1,1,0
 augue consequat rutrum,30556  Peabody Ct.,34193,34193,1,1,1,1
 ligula sit odio,3084 North Equatorial Guinea Ave.,34194,34194,1,0,0,0
 condimentum felis mauris,21967 South Ukraine Blvd.,34195,34195,0,1,0,1
 orci nisl torquent,85294 South Everett Blvd.,34196,34196,0,1,0,1
 quam venenatis libero,69601 North Carson City Ct.,34197,34197,1,1,0,1
 in ligula ad,50873 West Tonga Ave.,34198,34198,0,0,1,1
 Quisque vitae feugiat,99560 South East St. Louis Ave.,34199,34199,1,1,0,1
 et ultricies ipsum,83470 North Pitcairn Ct.,34200,34200,0,1,1,1
 purus mi penatibus,66037 North Malawi St.,34201,34201,1,0,1,1
 ad senectus dapibus,36710 South Cruz Bay Ln.,34202,34202,0,0,0,0
 pellentesque aliquet Maecenas,40703  Cook Islands Ct.,34203,34203,1,1,1,1
 urna Aenean commodo,65507  Northern Mariana Islands Ave.,34204,34204,0,0,1,1
 arcu placerat commodo,69429 North Argentina Ave.,34205,34205,1,1,1,1
 pellentesque viverra Vivamus,16588  Franklin Ln.,34206,34206,0,1,0,1
 sociosqu sed ipsum,47363 West Gambia St.,34207,34207,0,1,0,1
 interdum hendrerit euismod,26623 North Chelsea Ave.,34208,34208,1,0,1,1
 bibendum elit Morbi,89311 North Jamaica St.,34209,34209,0,1,0,0
 parturient taciti eu,92018  Mauritius St.,34210,34210,0,0,0,0
 dui libero ut,30538 West Central African Republic St.,34211,34211,0,1,1,1
 mi nibh taciti,19623 West Decatur Way,34212,34212,0,1,0,1
 ac felis dapibus,11297 West Timor-leste Ave.,34213,34213,1,0,1,1
 iaculis Suspendisse ad,57023 West Virgin Islands, U.S. St.,34214,34214,0,0,1,1
 metus sagittis sed,46721  Guayama Ln.,34215,34215,0,1,0,0
 Fusce varius primis,48892 North Mayotte Ave.,34216,34216,0,1,0,0
 mauris nascetur metus,1212 North Fall River Ln.,34217,34217,1,0,1,1
 augue quis Nullam,65902 South Congo Ln.,34218,34218,0,1,0,0
 faucibus penatibus Nulla,11355 North Orlando Ct.,34219,34219,0,1,0,1
 at orci sem,93294 North Afghanistan Ln.,34220,34220,1,1,1,0
 nisl ornare inceptos,70552 North Philippines Ln.,34221,34221,1,0,0,1
 fames litora parturient,516 West Ghana Ct.,34222,34222,1,0,0,1
 dictum scelerisque Lorem,92785  Bhutan Ave.,34223,34223,1,1,1,0
 Donec nisl nibh,31107 North Albania Ave.,34224,34224,0,0,1,0
 sodales pretium malesuada,81739 North Iran, Islamic Republic of Ct.,34225,34225,1,0,1,1
